id,name,urban_area,state_code,state,postcode,type,latitude,longitude,elevation,population,median_income,area_sq_km,local_government_area,region,time_zone
245,Anketell,,WA,Western Australia,6167,Rural locality,-32.21870,115.86538,22,248,33332,6.82200,Kwinana (City),Perth - South West,Australia/Perth
246,Anmatjere,,NT,Northern Territory,0872,Rural locality,-22.00828,133.46465,529,477,15340,54462.87400,Central Desert (Regional Council),Northern Territory - Outback,Australia/Darwin
247,Anna Bay,,NSW,New South Wales,2316,Urban locality,-32.77692,152.08327,7,3846,25844,22.25000,Port Stephens (Area),Hunter Valley exc Newcastle,Australia/Sydney
248,Annadale,,SA,South Australia,5356,Rural locality,-34.38932,139.38842,73,44,19916,46.77100,Mid Murray (District Council),South Australia - South East,Australia/Adelaide
249,Annandale,Sydney,NSW,New South Wales,2038,Suburb,-33.88144,151.17068,32,9451,60424,1.49300,Inner West (Area),Sydney - Inner West,Australia/Sydney
250,Annandale,Townsville,QLD,Queensland,4814,Suburb,-19.31109,146.78764,10,8574,39676,6.84000,Townsville (City),Townsville,Australia/Brisbane
251,Annangrove,,NSW,New South Wales,2156,Rural locality,-33.65777,150.94351,82,1397,39780,10.24600,The Hills Shire (Area),Sydney - Baulkham Hills and Hawkesbury,Australia/Sydney
252,Annerley,Brisbane,QLD,Queensland,4103,Suburb,-27.51161,153.03183,45,11336,39416,2.87600,Brisbane (City),Brisbane - South,Australia/Brisbane
253,Anniebrook,,WA,Western Australia,6280,Rural locality,-33.66919,115.16909,15,54,26936,13.26300,Busselton (City),Bunbury,Australia/Perth
254,Annuello,,VIC,Victoria,3549,Rural locality,-34.84770,142.83012,61,25,29900,320.81100,Swan Hill (Rural City),North West,Australia/Melbourne
255,Ansons Bay,,TAS,Tasmania,7264,Rural locality,-41.03789,148.26834,12,31,20228,229.35100,Break O'Day (Municipality),Launceston and North East,Australia/Hobart
256,Anstead,Brisbane,QLD,Queensland,4070,Suburb,-27.54559,152.87227,20,1509,47268,13.85200,Brisbane (City),Brisbane - West,Australia/Brisbane
257,Antechamber Bay,,SA,South Australia,5222,Rural locality,-35.80174,138.07272,10,8,28548,14.93600,Kangaroo Island (District Council),South Australia - South East,Australia/Adelaide
258,Anthony,,QLD,Queensland,4310,Rural locality,-27.87818,152.68408,97,111,31824,13.83400,Scenic Rim (Regional Council),Ipswich,Australia/Brisbane
259,Antigua,,QLD,Queensland,4650,Rural locality,-25.63821,152.60253,40,127,24180,17.17000,Fraser Coast (Regional Council),Wide Bay,Australia/Brisbane
260,Antill Ponds,,TAS,Tasmania,7120,Rural locality,-42.20401,147.40135,293,11,46800,40.48200,Southern Midlands (Municipality),South East,Australia/Hobart
